Date,URUGUAI CAMPOS NOVOS
2020-01,98.15295580110498
2020-02,78.13218390804597
2020-03,50.02150537634409
2020-04,24.544444444444444
2020-05,13.260067204301075
2020-06,195.15555555555557
2020-07,279.35934959349595
2020-08,355.0389784946237
2020-09,188.85183333333333
2020-10,91.61133603238866
2020-11,61.81944444444444
2020-12,158.56662180349932
2021-01,359.35618279569894
2021-02,359.5610119047619
2021-03,137.38709677419354
2021-04,50.87777777777778
2021-05,52.14247311827957
2021-06,216.67083333333332
2021-07,184.05913978494624
2021-08,66.18413978494624
2021-09,327.11961057023643
2021-10,372.880376344086
2021-11,204.06527777777777
2021-12,95.63844086021506
2022-01,86.01075268817205
2022-02,86.5327380952381
2022-03,236.39005376344087
2022-04,222.0263888888889
2022-05,674.4121621621622
2022-06,1030.354659248957
2022-07,445.37344398340247
2022-08,506.90161725067384
2022-09,291.9526462395543
2022-10,1014.5430107526881
2022-11,281.095966620306
2022-12,181.1061827956989
2023-01,255.21639784946237
2023-02,231.44594594594594
2023-03,270.0484522207268
2023-04,207.51111111111112
2023-05,236.7311827956989
2023-06,259.43810848400557
2023-07,737.5479082321187
2023-08,354.9260752688172
2023-09,386.45618915159946
2023-10,2031.4312668463613
2023-11,2139.5194444444446
2023-12,762.1747311827957
2024-01,570.644204851752
2024-02,382.13793103448273
2024-03,453.255376344086
2024-04,305.16527777777776
2024-05,1074.616935483871
2024-06,645.8503496503497
2024-07,1113.1881720430108
2024-08,350.1484375
